#####################################################################
# Alchemist log file - simulation started at: 2023-03-07T14:38+0000 #
#####################################################################
#
# seed = 3.0
#
# The columns have the following meaning: 
# time distance-border-intra-stdev-mean distance-border-intra-stdev-stdev distance-border-intra-stdev-max distance-border-intra-stdev-min distance-border-inter-mean-stdev distance-border-bubble-count distance-border-bubble-size-mean distance-intra-stdev-mean distance-intra-stdev-stdev distance-intra-stdev-max distance-intra-stdev-min distance-inter-mean-stdev distance-bubble-count distance-bubble-size-mean bycountry-intra-stdev-mean bycountry-intra-stdev-stdev bycountry-intra-stdev-max bycountry-intra-stdev-min bycountry-inter-mean-stdev bycountry-bubble-count bycountry-bubble-size-mean pm10-variance-intra-stdev-mean pm10-variance-intra-stdev-stdev pm10-variance-intra-stdev-max pm10-variance-intra-stdev-min pm10-variance-inter-mean-stdev pm10-variance-bubble-count pm10-variance-bubble-size-mean pm10-variance-border-intra-stdev-mean pm10-variance-border-intra-stdev-stdev pm10-variance-border-intra-stdev-max pm10-variance-border-intra-stdev-min pm10-variance-border-inter-mean-stdev pm10-variance-border-bubble-count pm10-variance-border-bubble-size-mean 
0.0 NaN NaN NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN 0.0 NaN
120.0720155280826 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0
1.0800119208015598E7 8.586698643952513 11.621807843013187 92.04303909721865 0.0 16.816970453762487 235.0 13.40851063829787 9.327720075855535 11.65981506918715 87.48533492330778 0.0 14.263866047750554 193.0 16.32642487046632 11.070244360670692 13.450394414009661 92.04303909721865 0.0 19.440321884758845 109.0 28.90825688073396 8.423129950176122 10.443849781287447 73.64860851333329 0.0 43.74778678584023 123.0 25.61788617886182 8.841200833591786 10.919618574820577 73.64860851333329 0.0 40.90513937104006 161.0 19.57142857142858
2.160011834401567E7 8.489578867953309 11.256745039906834 87.21306361860036 0.0 14.275374179892607 212.0 14.86320754716981 8.611258317776478 10.910936736262487 87.21306361860036 0.0 12.413602284459467 188.0 16.760638297872347 11.623066640987512 13.84239069272771 71.3081447443605 0.0 18.180709799329275 66.0 47.742424242424235 6.357949221639242 10.542682471245461 51.51612395494628 0.0 58.02298924858395 93.0 33.881720430107464 7.134166556437381 10.028149582946423 51.51612395494628 0.0 53.216285627025336 129.0 24.426356589147275
3.240011748001574E7 8.193134186380812 9.720712096751711 64.4571773060488 0.0 14.198359714678105 225.0 14.004444444444434 8.122950938532705 9.184248436772164 57.34327149697432 0.0 12.960377176944045 198.0 15.914141414141401 11.623993599763885 13.650188194816247 64.4571773060488 0.0 18.43449805699173 65.0 48.476923076923086 6.456375447814933 9.66811440238517 46.24308988539868 0.0 39.609855530329405 96.0 32.82291666666662 6.867282838337549 9.180212422740109 46.24308988539868 0.0 38.55996505502756 136.0 23.16911764705883
4.32001166160158E7 8.290496393639819 10.208708797843203 89.20717190074106 0.0 14.121548979591305 228.0 13.82017543859649 8.304762472717636 8.790240738323929 50.308961639333084 0.0 12.955809580545115 193.0 16.32642487046632 10.917872048774539 12.510163587144815 54.82899008036266 0.0 17.790671819992113 65.0 48.476923076923086 5.2631435747264135 8.404147674955272 46.24308988539868 0.0 36.46529501563724 99.0 31.828282828282784 6.247329770285712 8.831351492436514 46.24308988539868 0.0 35.68767655681454 143.0 22.03496503496505
5.400011575201586E7 7.456392053017212 9.33621609533406 60.026831530230425 0.0 12.827040994338876 245.0 12.86122448979592 7.977048401224483 9.63574846909006 71.6556941017083 0.0 11.604616104387839 205.0 15.37073170731707 11.233836743326467 13.314300295614604 60.026831530230425 0.0 14.945223356945172 65.0 48.476923076923086 5.087025820906715 8.584668524958936 46.24308988539868 0.0 39.84564715004724 98.0 32.153061224489754 6.711559396268835 10.993861881828236 79.35015887566428 0.0 35.645796759353786 143.0 22.034965034965047
6.480011488801592E7 7.308157725239427 8.8095728980612 63.21661740699768 0.0 16.971115751522582 253.0 12.454545454545455 8.142631188741749 10.16792476441505 92.56432626005983 0.0 12.368924992910687 205.0 15.37073170731707 11.034474640818498 13.020393616924833 75.14087937399803 0.0 17.78497284191489 65.0 48.476923076923086 4.51960654426451 8.049314732888426 46.24308988539868 0.0 38.23312322079592 104.0 30.298076923076938 5.900828054495107 8.72315992399945 47.96093309604285 0.0 36.97153182036662 145.0 21.73103448275861
7.5600114024016E7 8.701912916948706 10.848098943910273 85.85538884704759 0.0 17.441652574072567 241.0 13.074688796680492 9.273021706729878 9.987571495729549 65.18461299972412 0.0 15.917356311281093 195.0 16.15897435897437 12.291531818623865 15.508360891704108 85.85538884704759 0.0 24.97599864232378 65.0 48.476923076923086 5.715218959621005 10.200537498930702 62.17923970106434 0.0 40.04189253431493 117.0 26.931623931623886 6.277871752639123 10.299980795071212 77.4498670710866 0.0 39.587837483650645 157.0 20.070063694267517
8.640011316001607E7 8.58387619410434 12.523396563318485 120.48931009142568 0.0 21.231084359160413 245.0 12.86122448979592 9.509730784425434 13.105184473550358 125.87354370902109 0.0 19.978220746181666 196.0 16.07653061224489 14.01165405842593 19.752437354238033 114.88582181598606 0.0 30.469035881537696 65.0 48.476923076923086 6.910911375622499 11.8836105607184 59.5973053757342 0.0 49.003648100831526 109.0 28.90825688073397 7.127849489602957 11.350704935208562 59.5973053757342 0.0 47.05664402483552 146.0 21.58219178082191
