Name,Latitude,Longitude
DEBY005,"49,9915160000","9,1179720000"
DEBY118,"48,5736240000","13,4220390000"
DEBW019,"48,3968360000","9,9790310000"
DESL012,"49,2334630000","6,9876000000"
DEBY039,"48,1545330000","11,5546690000"
DEBW122,"47,9885370000","7,8598720000"
DERP019,"49,4460000000","7,7673000000"
DEBY077,"49,8046950000","9,9564190000"
DEBW081,"49,0285940000","8,3556280000"
DERP009,"49,9949760000","8,2739640000"
DEBY099,"48,3260120000","10,9030490000"
DEBY089,"48,1731950000","11,6480360000"
DEBW033,"48,8890390000","8,6655360000"
DEBW107,"48,5077030000","9,0511780000"
DENI042,"51,5510670000","9,9497610000"
DEBW084,"48,0015110000","7,8321220000"
DK0034A,"55,6691670000","12,5711140000"
DK0030A,"55,6983340000","12,5533360000"
DK0045A,"55,7002790000","12,5614000000"
DK0056A,"56,1597600000","10,1936400000"
EE0021A,"58,3705560000","26,7347220000"
EE0022A,"59,3761600000","28,1791670000"
EE0018A,"59,4141690000","24,6494580000"
ES0559A,"41,3891670000","2,1652780000"
ES1438A,"41,3861110000","2,1552780000"
ES1957A,"43,3825000000","-8,4088890000"
ES1619A,"39,4780560000","-0,3683330000"
ES1480A,"41,4002780000","2,1544440000"
ES0691A,"41,4041670000","2,2052780000"
ES1272A,"43,5311110000","-5,7058330000"
ES0567A,"41,3861110000","2,1216670000"
ES1915A,"38,3402780000","-0,5066670000"
ES1856A,"41,4261110000","2,1480560000"
ES0118A,"40,4216670000","-3,6822220000"
ES1525A,"40,4452780000","-3,7063890000"
ES2010A,"41,6300000000","-4,7405560000"
ES1641A,"41,6352780000","-0,8936110000"
ES1926A,"39,4811110000","-0,4083330000"
ES1632A,"41,6205560000","-4,7466670000"
ES1940A,"40,4658330000","-3,6883330000"
ES1885A,"39,4802780000","-0,3363890000"
ES1937A,"40,3980560000","-3,6866670000"
ES1818A,"39,8680560000","-4,0208330000"
ES1938A,"40,4397220000","-3,6902780000"
ES1974A,"43,5166670000","-5,6705560000"
ES1492A,"42,8555560000","-2,6680560000"
ES1472A,"42,8072220000","-1,6513890000"
ES1573A,"28,0000000000","-15,4275000000"
ES1752A,"40,4550000000","-3,4841670000"
ES1914A,"38,4547220000","-0,8033330000"
ES1631A,"41,6455560000","-4,7302780000"
ES1193A,"40,4200000000","-3,7491670000"
ES1697A,"43,3094440000","-2,0111110000"
ES1239A,"39,4561110000","-0,3758330000"
ES1494A,"43,3227780000","-1,9602780000"
ES2003A,"28,4552780000","-16,2769440000"
ES1890A,"40,3419440000","-3,8338890000"
ES1615A,"39,4727780000","-6,3602780000"
ES1955A,"28,9677780000","-13,5558330000"
ES1988A,"42,5752780000","-5,5663890000"
ES1673A,"42,8436110000","-2,6613890000"
ES1975A,"28,4580560000","-16,2788890000"
FI00564,"60,1697240000","24,9391710000"
FI00781,"60,2238880000","25,1025010000"
FI00370,"60,2900010000","25,0394500000"
FI00425,"60,1875000000","24,9505620000"
FI00841,"60,2202420000","24,8113290000"
FI00889,"60,9912900000","25,6657900000"
FI00446,"65,0100020000","25,4713920000"
FI00801,"61,4991680000","23,8022210000"
FI00363,"62,8936120000","27,6700020000"
FR04058,"48,9252780000","2,3566670000"
FR04329,"48,8386140000","2,4127800000"
FR11034,"50,7065370000","3,1806500000"
FR20013,"45,7200250000","4,8181560000"
FR08030,"43,6099750000","3,8986110000"
FR01011,"49,1194420000","6,1808330000"
FR16038,"48,5704000000","7,7831170000"
FR10004,"51,0513890000","2,4230560000"
FR04122,"48,5280580000","2,6536110000"
FR11025,"50,6294440000","3,0908330000"
FR06001,"50,3585600000","3,5079300000"
FR04143,"48,8594440000","2,3511110000"
FR33201,"45,8952780000","6,1183330000"
FR10029,"50,9959080000","2,3659940000"
FR18089,"49,4359330000","2,0842920000"
FR14011,"49,2507320000","4,0230640000"
FR03006,"43,2763280000","5,3976670000"
FR08016,"43,5915250000","3,8868940000"
FR24035,"43,6892860000","7,2420830000"
FR03043,"43,3060750000","5,3957940000"
FR10016,"50,9471000000","1,8427600000"
FR36002,"44,9335140000","4,8934810000"
FR20062,"45,7577330000","4,8542140000"
FR36003,"44,9489220000","4,8898810000"
FR12054,"43,6430560000","1,4676500000"
FR34014,"47,9180780000","1,9663470000"
FR82006,"47,2472000000","6,0154000000"
FR04156,"48,9025030000","2,4525000000"
FR08614,"43,8344030000","4,3742190000"
FR06003,"50,3666640000","3,0827780000"
FR04002,"48,9297220000","2,2947220000"
FR23140,"47,2043940000","-1,5528280000"
FR30034,"48,6881720000","6,1904310000"
FR25037,"49,4414640000","1,0826560000"
FR24036,"43,7020750000","7,2862640000"
FR25048,"49,4280560000","1,0577780000"
FR30036,"48,6963310000","6,1461190000"
FR19012,"48,3863830000","-4,4868170000"
FR18043,"49,2595530000","2,4743970000"
FR82010,"47,5103070000","6,7940000000"
FR25036,"49,4424580000","1,0936940000"
FR14012,"49,2241670000","4,0205560000"
FR05089,"49,5001860000","0,1109030000"
FR23182,"47,9710640000","0,2214220000"
FR15043,"45,1621780000","5,7356640000"
FR31002,"44,8005560000","-0,5880560000"
FR23120,"47,4685140000","-0,5560530000"
FR34024,"47,3445000000","0,6533220000"
FR05074,"49,4896310000","0,1007030000"
FR04034,"48,7761110000","2,3772220000"
FR03080,"43,9497250000","4,8050810000"
FR33211,"46,1958330000","6,2405560000"
FR23188,"47,2225000000","-1,5375000000"
FR07034,"45,7756940000","3,0962500000"
FR19002,"48,1087560000","-1,6658610000"
FR16066,"47,7374000000","7,3088000000"
FR19032,"47,7425000000","-3,3948080000"
FR03029,"43,5302920000","5,4413860000"
FR09404,"46,5838900000","0,3455560000"
FR21001,"49,1922190000","-0,3911110000"
FR34042,"48,4379690000","1,4705750000"
FR09203,"46,1616110000","-1,2112030000"
FR12030,"43,5872190000","1,4438890000"
FR33212,"46,1936920000","6,2148590000"
FR31007,"44,9002780000","-0,5147220000"
FR26039,"47,3155000000","5,0374300000"
FR31013,"43,3108330000","-0,3911110000"
FR09019,"46,3295860000","-0,4588890000"
FR29424,"45,4200890000","4,3954220000"
FR07004,"45,7972780000","3,1138330000"
FR39007,"14,6104000000","-61,0546000000"
FR23110,"47,2641170000","-2,2498580000"
FR09103,"45,6474170000","0,1671670000"
FR35003,"45,8311000000","1,2568750000"
FR09003,"46,1625560000","-1,1536030000"
FR31016,"43,4797220000","-1,4880560000"
FR29426,"45,4753250000","4,5150030000"
FR19033,"47,6488890000","-2,7638890000"
GB0682A,"51,5225300000","-0,1546110000"
GB0608A,"51,4660300000","0,1848060000"
GB0620A,"51,5210600000","-0,2134310000"
GB0637A,"51,5993000000","-0,0682250000"
GB0660A,"53,4848100000","-2,3341390000"
GB0636A,"51,5442100000","-0,1752690000"
GB0598A,"50,9081400000","-1,3957780000"
GB0566A,"51,5222900000","-0,1258890000"
GB0926A,"53,8199720000","-1,5763610000"
GB0864A,"53,5491400000","-2,6381390000"
GB0924A,"51,5181670000","0,4395560000"
GB0733A,"50,8288100000","-1,0685830000"
GB0960A,"52,5117220000","-1,8305830000"
GB0919A,"53,9518890000","-1,0758610000"
GB1007A,"51,3742640000","0,5479700000"
GB0851A,"52,5117190000","-1,8305690000"
GB0658A,"53,0282100000","-2,1751330000"
GB1026A,"52,6198230000","-1,1273110000"
GB0584A,"53,8037800000","-1,5464720000"
GB0643A,"52,2888100000","-1,5331190000"
GB0896A,"51,6326960000","-3,9473740000"
GB0959A,"51,6173330000","-0,2987770000"
GB1013A,"52,4371720000","-1,8300000000"
GB0918A,"53,9675130000","-1,0865140000"
GB0776A,"53,7487800000","-0,3412220000"
GB1027A,"53,3786220000","-1,4780960000"
GB1005A,"50,8057790000","0,2716110000"
GB0646A,"52,9547300000","-1,1464470000"
GB0731A,"53,7655900000","-2,6803530000"
GB0962A,"51,6012030000","-2,9772810000"
GB0995A,"52,6141930000","1,3019760000"
GB0673A,"55,0012250000","-7,3291150000"
GB0613A,"53,4815200000","-2,2378810000"
GB0586A,"51,4526640000","0,0708420000"
GB0580A,"51,4817800000","-3,1762500000"
GB0928A,"53,2317220000","-1,4569440000"
GB0925A,"54,8948340000","-2,9453070000"
GB1018A,"52,2948800000","-1,5429110000"
GB0743A,"51,4946700000","-0,1319310000"
GB0956A,"54,5166670000","-1,3585470000"
GB0567A,"54,5996500000","-5,9288330000"
GB0863A,"54,8836100000","-1,4068780000"
GB0729A,"57,1573600000","-2,0942780000"
GB0860A,"50,8408360000","-0,1475720000"
GB0568A,"54,9782500000","-1,6105280000"
GB0755A,"53,0422210000","-3,0027800000"
GB0741A,"50,7395700000","-1,8267440000"
GB1019A,"52,2718800000","-0,8798980000"
GB1028A,"55,8657820000","-4,2436310000"
HU0022A,"47,4308360000","19,1841740000"
HU0025A,"47,6761130000","17,6497360000"
HU0057A,"46,2666140000","20,1530530000"
HU0024A,"47,6852800000","17,6394440000"
IE0105A,"53,3472210000","-6,2666670000"
IE0106A,"53,3611110000","-6,2250000000"
IT1739A,"45,1422230000","10,0458340000"
IT1743A,"45,5811120000","9,2744450000"
IT1692A,"45,4783330000","9,2358330000"
IT1016A,"45,4697230000","9,1980550000"
IT1737A,"45,5152780000","10,2194440000"
IT0470A,"45,1036110000","7,6950000000"
IT2168A,"45,0249400000","7,6490500000"
IT1453A,"45,3719440000","11,8419440000"
IT1153A,"45,1327780000","10,0166670000"
IT1877A,"45,0418800000","7,6259300000"
IT0912A,"45,1938900000","9,1647210000"
IT1177A,"45,5605550000","11,5397220000"
IT1650A,"45,6269420000","9,0241660000"
IT1343A,"45,4625000000","10,9122220000"
IT1728A,"42,5522230000","12,6516670000"
IT0963A,"45,4991680000","12,2622220000"
IT1365A,"42,5827750000","12,6236110000"
IT0707A,"45,6902770000","9,6438880000"
IT0935A,"40,9233330000","14,7822220000"
IT0594A,"45,5408330000","10,2236110000"
IT1588A,"45,8169440000","8,8202780000"
IT1975A,"45,0383340000","9,6691670000"
IT1487A,"41,0825000000","14,3375000000"
IT0934A,"41,1341670000","14,7755560000"
IT0825A,"41,9475020000","12,4697220000"
IT1043A,"44,0625000000","12,5533330000"
IT1011A,"42,5599980000","12,6508330000"
IT0771A,"45,8044430000","9,0836110000"
IT1590A,"45,6725010000","12,2386110000"
IT1159A,"44,4997220000","11,3283330000"
IT1654A,"43,8727780000","11,0919440000"
IT1264A,"42,4666670000","14,2130560000"
IT0804A,"44,7936100000","10,3316670000"
IT0940A,"44,6908340000","10,6647210000"
IT1918A,"44,8250010000","11,6497220000"
IT0956A,"41,8577770000","12,5686110000"
IT1423A,"42,4566690000","14,2347220000"
IT0861A,"43,7730560000","11,2722220000"
IT1906A,"41,8938900000","12,4752770000"
IT1204A,"44,4200020000","12,2255550000"
IT0957A,"41,9313890000","12,6591660000"
IT1491A,"40,8536110000","14,2716670000"
IT2012A,"41,8755560000","12,3450000000"
IT1771A,"44,6516690000","10,9263890000"
IT1836A,"41,9063910000","12,4475000000"
IT1504A,"40,6838890000","14,7697220000"
IT1184A,"41,5313890000","12,9461110000"
IT1518A,"45,4383350000","8,6205560000"
IT0966A,"46,0661090000","13,2405560000"
IT1182A,"43,0900000000","12,4413890000"
IT0892A,"44,4833340000","11,3550000000"
IT1578A,"43,8933330000","12,9188890000"
IT1706A,"44,3130530000","8,4772210000"
IT0953A,"41,9327770000","12,5069450000"
IT1180A,"43,1030560000","12,3661110000"
IT1048A,"44,2191660000","12,0488890000"
IT2004A,"43,1044430000","12,3747220000"
IT1110A,"43,7388880000","10,4016670000"
IT1037A,"46,0644450000","11,1266670000"
IT1137A,"45,6572230000","13,7722220000"
IT1560A,"43,5547220000","10,3297220000"
IT1497A,"40,8627780000","14,2544440000"
IT2003A,"41,3166670000","16,2861110000"
IT1826A,"45,8494420000","9,3958330000"
IT1827A,"43,6116640000","13,5086110000"
IT0862A,"43,7866670000","11,2875000000"
IT1247A,"45,5586090000","8,0563890000"
IT1613A,"40,4944460000","17,2636110000"
IT1932A,"40,3644450000","18,1730560000"
IT1883A,"44,3152770000","8,4855560000"
IT1536A,"44,1177750000","9,8427770000"
IT1557A,"43,5200000000","10,3216670000"
IT0858A,"44,3963890000","8,9922230000"
LT00003,"54,7152790000","25,2894440000"
LT00041,"54,8951280000","23,9862220000"
LT00033,"55,6900000000","21,1794600000"
LU0101A,"49,5983300000","6,1380580000"
LV000L1,"56,5231750000","21,0046940000"
LV0RKR9,"56,9548470000","24,1047560000"
MT00005,"35,8958360000","14,4899860000"
NL00012,"52,3900030000","4,8880580000"
NL00701,"52,4500010000","4,8166670000"
NL00017,"52,3580550000","4,9000000000"
NL00007,"52,3811110000","4,8450110000"
NL00487,"51,8911130000","4,4811110000"
NL00014,"52,3599970000","4,8088970000"
NL00241,"51,6033330000","4,7808470000"
NL00741,"51,8488890000","5,8580610000"
NL00742,"51,8388890000","5,8580610000"
NL00404,"52,0780560000","4,2891720000"
NL00016,"52,3930590000","4,8700030000"
NL00937,"53,2180560000","6,5789000000"
NL00938,"53,2469440000","6,6088970000"
NL00488,"51,8938900000","4,4875000000"
NL00240,"51,5936090000","4,8250080000"
NL00494,"51,9211110000","4,4013890000"
NL00636,"52,1061110000","5,1252860000"
NL00418,"51,9150010000","4,4802890000"
NL00821,"52,2345010000","6,9194940000"
